brand;name;link;image;color;consist;description
Tommy Hilfiger;Short Sleeve Polo Stripe Dress;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-polo-stripe-dress-sky-captain-bright-white/product/9407105/color/858095;https://m.media-amazon.com/images/I/71EJAgZ3ZFL._AC_SX510_.jpg;Sky Captain/Bright White; 100% cotton ;You're a casual girl living in a stylish world with the Tommy Hilfiger® Short Sleeve Polo Stripe Dress. Polka dot collar and button placket offer contrast to this stripe pullover dress with short sleeves. 
U.S. POLO ASSN.;Side Panel Polo Dress;https://www.6pm.com/p/u-s-polo-assn-side-panel-polo-dress-holly-berry/product/9432757/color/138336;https://m.media-amazon.com/images/I/71saHa4JHGL._AC_SX510_.jpg;Holly Berry;;Give off an athletic look in the U.S. POLO ASSN.® Side Panel Polo Dress.
WAYF;The Rachel Strapless Gored Maxi Gown;https://www.6pm.com/p/wayf-the-rachel-strapless-gored-maxi-gown-cabernet-floral/product/9230807/color/857892;https://m.media-amazon.com/images/I/81n-kbrMviL._AC_SX510_.jpg;Cabernet Floral;" 100% polyester;Lining: 100% polyester ";Look perfectly polished in this WAYF™ Rachel Strapless Maxi Gown.
BCBG Girls;Printed Crepe Ruffle Dress (Big Kids);https://www.6pm.com/p/bcbg-girls-printed-crepe-ruffle-dress-big-kids-rose-petal/product/9322159/color/190636;https://m.media-amazon.com/images/I/91fDoFmVj4L._AC_SX510_.jpg;Rose Petal;" 100% polyester;Lining: 100% cotton ";With its flounce overlay and eye-catching floral print, the sleeveless BCBGirls™ Printed Crepe Ruffle Dress is a must-have. She'll love the loose-fitting sheath silhouette, cold-shoulder openings and the long-sleeve design.
fiveloaves twofish;Confetti On/Off Dress (Little Kids/Big Kids);https://www.6pm.com/p/fiveloaves-twofish-confetti-on-off-dress-little-kids-big-kids-black/product/9327973/color/3;https://m.media-amazon.com/images/I/816GXYTZrEL._AC_SX510_.jpg;Black; 100% cotton ;In the sparkling fiveloaves twofish™ Confetti On/Off Dress, her outgoing party style will stand out! The optional off-the-shoulder dress features a flattering A-line silhouette with a flounce overlay at the chest. A straight hemline and an easy pullover design complete the look!
BCBGeneration;Cocktail Elasticated Bodycon Knit Dress - TSG6271624;https://www.6pm.com/p/bcbgeneration-cocktail-elasticated-bodycon-knit-dress-tsg6271624-black/product/9441081/color/3;https://m.media-amazon.com/images/I/71-kbsSzYdL._AC_SX510_.jpg;Black; 93% polyester, 7% spandex ;Look your best in the BCBGeneration® dress featuring a bodycon silhouette, a ruffle trim, and a jacquard-knit fabrication. 
MICHAEL Michael Kors;Mesh Mix Short Sleeve Dress;https://www.6pm.com/p/michael-michael-kors-mesh-mix-short-sleeve-dress-black/product/9396942/color/3;https://m.media-amazon.com/images/I/71g5Xw0w2gL._AC_SX510_.jpg;Black; 95% polyester, 5% spandex ;You'll look like an absolute dream in the MICHAEL Michael Kors® dress featuring a flattering silhouette and a stretch poly fabrication with a woven mesh trim. 
Amuse Society;Driftwood Sleeveless Woven Dress;https://www.6pm.com/p/amuse-society-driftwood-sleeveless-woven-dress-casa-blanca/product/9278791/color/481236;https://m.media-amazon.com/images/I/71xHh7mLjpL._AC_SX510_.jpg;Casa Blanca; 51% linen, 49% viscose;Get into vacation mode in a hurry with the breezy Amuse Society® Driftwood Sleeveless Woven Dress!
COTTON ON;Teen Woven Beth Button Front Midi Dress;https://www.6pm.com/p/cotton-on-teen-woven-beth-button-front-midi-dress-light-chambray/product/9328173/color/147102;https://m.media-amazon.com/images/I/71xPM7-kR3L._AC_SX510_.jpg;Light Chambray; 100% cotton ;The COTTON ON® Teen Woven Beth Button Front Midi Dress is that wear-everywhere dress you've been looking for! This midi dress boasts a comfy, relaxed fit, with a flattering sweetheart neckline and button down detailing. Patch hand pockets lend the perfect finish. 
Volcom;In The Wind Dress;https://www.6pm.com/p/volcom-in-the-wind-dress-black/product/9314388/color/3;https://m.media-amazon.com/images/I/711V0poxVhL._AC_SX510_.jpg;Black; 100% viscose;Bring carefree style to your fall repertoire with the fun floral print and mini tank silhouette of the Volcom® In The Wind dress!
